label,type,author,title,journal,year,volume,number,pages,month,abstract,doi,issn,eissn,unique_id,researcherid_numbers,orcid_numbers,note,article_number,organization,book_group_author,booktitle,series,isbn,screened_abstracts,comments,downloaded,extractable?,potential_figures,extracted,extraction_notes
X.WOS.000071384900021,article,"Goulden, ML and Daube, BC and Fan, SM and Sutton, DJ and Bazzaz, A and Munger, JW and Wofsy, SC",Physiological responses of a black spruce forest to weather,JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES,1997,102,D24,28987-28996,26-Dec,"We used eddy covariance to measure the net exchange of CO2 between the atmosphere and a black spruce (Picea mariana) forest in Manitoba for 16,500 hours from March 16, 1994 to October 31, 1996. We then partitioned net exchange into gross photosynthesis and respiration by estimating daytime respiration as a function of temperature, and used these data to define the physiological responses of the forest to weather. The annual rates of gross production and respiration by the forest were both around 8 t C ha(-1) yr(-1). Both photosynthetic and respiratory response were reduced in winter, recovered with warming in spring, and varied little in summer. Respiration in mid summer increased with air temperature (T-air) at a Q(10) of around 2 to a rate of 2-8 mu mol m(-2) s(-1) at 15 degrees C. Gross photosynthesis at high light (photon flux density (PPFD) greater than 600 mu mol m(-2) s(-1)) was negligible at T-air < 0 degrees C, increased linearly with T-air from 0 degrees to 14 degrees C, and was relatively insensitive to T-air > 14 degrees C. Gross CO2 uptake at T-air > 14 degrees C increased with increasing light at an ecosystem-level quantum yield of 0.05 mol CO2 mol(-1) photons before saturating at an uptake rate of 8-18 mu mol m(-2) s(-1) at PPFDs greater than 500-700 mu mol m(-2) s(-1). Photosynthesis in summer did not appear limited by high evaporative demand or soil water depletion.",10.1029/97JD01111,2169-897X,2169-8996,WOS:000071384900021,"Goulden, Michael L/B-9934-2008 Fan, Song-Miao/A-8004-2008 Munger, J William/H-4502-2013 ","Fan, Song-Miao/0000-0001-8352-8035 Munger, J William/0000-0002-1042-8452 Goulden, Michael/0000-0002-9379-3948",NA,NA,NA,NA,NA,NA,NA,selected,,n,n,"forest co2 exchange, whol system responses",,
X.WOS.000594364800003,article,"Bobrik, A. A. and Goncharova, O. Yu. and Matyshak, G. V. and Ryzhova, I. M. and Makarov, M. I. and Timofeeva, M. V.","Spatial Distribution of the Components of Carbon Cycle in Soils of Forest Ecosystems of the Northern, Middle, and Southern Taiga of Western Siberia",EURASIAN SOIL SCIENCE,2020,53,11,1549-1560,NOV,"In the course of studies in typical forest ecosystems of the northern, middle, and southern taiga of Western Siberia performed at the peak of the growing season, the spatial variation of soil CO2 emissions and their relationships with the content of extractable and microbial soil carbon and soil hydrothermic parameters were estimated. The studied parameters of the soil carbon cycle are characterized by the high spatial variability in all the studied ecosystems. This fact indicates the need for a detailed investigation of the greenhouse gas soil emission in all ecosystems typical of a given natural zone. There is a statistically significant difference between the soils of the green-moss pine forests and the soils of the lichen pine forest of the northern taiga. In the green-moss pine forest, the carbon content of microbial biomass is 1.5 times higher (195 +/- 24 and 127 +/- 16 mg C/kg soil, respectively), the content of extractable carbon is 4 times higher (157 +/- 25 and 41 +/- 5 mg C/kg of soil, respectively), and the CO2 emission is 1.7 times higher (324 +/- 20 and 190 +/- 10 mg CO2/(m(2) h), respectively) than those in the lichen pine forest. In the northern taiga zone, carbon dioxide emissions from soils in the green-moss pine forests are largely determined by the soil temperature; the role of soil moisture is less significant. In the soils of lichen pine forests, the CO2 emission is mainly controlled by the content of extractable carbon. Significant factors influencing the soil CO2 emission in forest ecosystems of the taiga zone are the content of extractable and microbial carbon and hydrothermic parameters of the soils.",10.1134/S1064229320110058,1064-2293,1556-195X,WOS:000594364800003,"Makarov, Mikhail I/A-7945-2014 ","Goncharova, Olga/0000-0003-1099-251X",NA,NA,NA,NA,NA,NA,NA,selected,,n,n,"forest system, no temperature dependence, spatial data ",,
X.WOS.000256204500002,article,"Thomas, A. D. and Hoon, S. R. and Linton, P. E.",Carbon dioxide fluxes from cyanobacteria crusted soils in the Kalahari,APPLIED SOIL ECOLOGY,2008,39,3,254-263,JUL,"The surface of dryland soils is frequently characterised by a biological crust comprising of various combinations of cyanobacteria, algae, moss and lichens. In the Kalahari of Botswana, soil crusts are predominantly made up of cyanobacteria, which when moist, are capable of fixing N and C. Many cyanobacteria also produce extracellular polymeric substances (EPS) which bind soil particles together and decrease erodibility. The physical integrity and metabolic activity of soil crusts is thus critical to ecological productivity, erodibility and CO2 fluxes in dryland regions. There are, however, few studies of the magnitude and controlling factors Of Soil CO2 flux within these systems. our aim was to quantify in Situ Soil CO2 flux during contrasting antecedent moisture conditions in the south west Kalahari of Botswana. We have designed a gas exchange chamber for field deployment coupled to a portable gas chromatograph, control and data logging instrumentation. The optical and active thermal control specifications of the chamber have been designed to permit photosynthesis and cope with the temperature extremes of the Kalahari whilst minimizing disturbance to the cyanobacteria soil crust. This approach has enabled CO2 fluxes to be monitored in situ with a high degree of precision for extended periods. In August 2005, when the surface and subsoils were dry, the ambient CO2 efflux was negative and low during the daytime (-6.15 mg C m(2) h(-1)). When 8 mm rainfall equivalent of water was added to the surface there was an immediate uptake of CO2 during the daytime at rates up to 75 mg C m(2) h(-1) demonstrating that rates of net photosynthesis are greatly enhanced by available moisture. In contrast, in May 2006 following a prolonged wet period when the subsoil was moist, there was a net positive efflux of CO2 from the soil at rates of up to 60 mg C m(2) h(-1) irrespective of whether the surface soil was moist or not. This is consistent with subsoil heterotrophic bacterial respiration becoming an important contributor to soil efflux. (C) 2008 Elsevier B.V. All rights reserved.",10.1016/j.apsoil.2007.12.015,0929-1393,NA,WOS:000256204500002,"Hoon, Stephen R/R-1933-2017 ","Hoon, Stephen R/0000-0002-1250-9432 Thomas, Andrew/0000-0002-1360-1687",NA,NA,NA,NA,NA,NA,NA,selected,,n,n,BSCs,,
X.WOS.000381060900020,article,"Kim, Yongwon and Park, Sang-Jong and Lee, Bang-Yong and Risk, David",Continuous measurement of soil carbon efflux with Forced Diffusion (FD) chambers in a tundra ecosystem of Alaska,SCIENCE OF THE TOTAL ENVIRONMENT,2016,566,NA,175-184,1-Oct,"Soil is a significant source of CO2 emission to the atmosphere, and this process is accelerating at high latitudes due to rapidly changing climates. To investigate the sensitivity of soil CO2 emissions to high temporal frequency variations in climate, we performed continuous monitoring of soil CO2 efflux using Forced Diffusion (FD) chambers at half-hour intervals, across three representative Alaskan soil cover types with underlying permafrost. These sites were established during the growing season of 2015, on the Seward Peninsula of western Alaska. Our chamber system is conceptually similar to a dynamic chamber, though FD is more durable and water-resistant and consumes less power, lending itself to remote deployments. We first conducted methodological tests, testing different frequencies of measurement, and did not observe a significant difference between collecting data at 30-min and 10-min measurement intervals (averaged half-hourly) (p < 0.001). Temperature and thaw depth, meanwhile, are important parameters in influencing soil carbon emission. At the study sites, we observed cumulative soil CO2 emissions of 62.0, 126.3, and 133.5 gCm(-2) for the growing period, in sphagnum, lichen, and tussock, respectively, corresponding to 83.8, 63.7, and 79.6\% of annual carbon emissions. Growing season soil carbon emissions extrapolated over the region equated to 0.17 +/- 0.06 MgC over the measurement period. This was 47\% higher than previous estimates from coarse-resolution manual chamber sampling, presumably because it better captured high efflux events. This finding demonstrates how differences in measurement method and frequency can impact interpretations of seasonal and annual soil carbon budgets. We conclude that annual CO2 efflux-measurements using FD chamber networks would be an effective means for quantifying growing and non-growing season soil carbon budgets, with optimal pairing with time-lapse imagery for tracking local and regional changes in environment and climate in a warming Arctic. (C) 2016 The Authors. Published by Elsevier B.V. This is an open access article under the CC BY-NC-ND license.",10.1016/j.scitotenv.2016.05.052,0048-9697,1879-1026,WOS:000381060900020,"Park, Sang-Jong/B-7049-2011","Park, Sang-Jong/0000-0002-6944-6962",NA,NA,NA,NA,NA,NA,NA,selected,,n,n,"in situ, does have lichen broken out (fig 2 could be usable)",,
X.WOS.000627896100005,article,"Duran, J. and Rodriguez, A. and Fangueiro, D. and De los Rios, A.",In-situ soil greenhouse gas fluxes under different cryptogamic covers in maritime Antarctica,SCIENCE OF THE TOTAL ENVIRONMENT,2021,770,NA,NA,20-May,"Soils can influence climate by sequestering or emitting greenhouse gases (GHG) such as carbon dioxide (CO2), methane (CH4), and nitrous oxide (N2O). We are far from understanding the direct influence of cryptogamic covers on soil GHG fluxes, particularly in areas free of potential anthropogenic confounding factors. We assessed the role ofwell-developed cryptogamic covers in soil attributes, as well as in the in-situ exchange of GHG between Antarctic soils and the atmosphere during the austral summer. We found lower values of soil organic matter, total organic carbon, and total nitrogen in bare areas than in soils covered by mosses and, particularly, lichens. These differences, together with concomitant decreases and increases in soil temperature and moisture, respectively, resulted in increases in in-situ CO2 emission (i.e. ecosystem respiration) and decreases in CH4 uptake but no significant changes in N2O fluxes. We found consistent linear positive and negative relationships between soil attributes (i.e. soil organic matter, total organic carbon and total nitrogen) and CO2 emissions and CH4 uptake, respectively, and polynomial relationships between these soil attributes and net N2O fluxes. Our results indicate that any increase in the area occupied by cryptogams in terrestrial Antarctic ecosystems (due to increased growing season and increasingly warming conditions) will likely result in parallel increases in soil fertility as well as in an enhanced capacity to emit CO2 and a decreased capacity to uptake CH4. Suchchanges, unless offset by parallel C uptake processes, would represent a paradigmatic example of a positive climate change feedback. Further, we show that the fate of these terrestrial ecosystems under future climate scenarios, as well as their capacity to exchange GHG with the atmosphere might depend on the relative ability of different above-ground cryptogams to thrive under the new conditions. (C) 2021 Elsevier B.V. All rights reserved.",10.1016/j.scitotenv.2020.144557,0048-9697,1879-1026,WOS:000627896100005,"Pereiras, Alexandra Rodriguez/C-2879-2015 ","Pereiras, Alexandra Rodriguez/0000-0001-5849-8778 Fangueiro, David/0000-0002-6101-9210",NA,144557,NA,NA,NA,NA,NA,selected,,n,n,cryptogamic cover,,
X.WOS.000423404400001,article,"Buedel, Burkhard and Williams, Wendy J. and Reichenberger, Hans","Annual net primary productivity of a cyanobacteria-dominated biological soil crust in the Gulf Savannah, Queensland, Australia",BIOGEOSCIENCES,2018,15,2,491-505,26-Jan,"Biological soil crusts (biocrusts) are a common element of the Queensland (Australia) dry savannah ecosystem and are composed of cyanobacteria, algae, lichens, bryophytes, fungi and heterotrophic bacteria. Here we report how the CO2 gas exchange of the cyanobacteria-dominated biocrust type from Boodjamulla National Park in the north Queensland Gulf Savannah responds to the pronounced climatic seasonality and on their quality as a carbon sink using a semi-automatic cuvette system. The dominant cyanobacteria are the filamentous species Symplocastrum purpurascens together with Scytonema sp. Metabolic activity was recorded between 1 July 2010 and 30 June 2011, during which CO2 exchange was only evident from November 2010 until mid-April 2011, representative of 23.6\% of the 1-year recording period. In November at the onset of the wet season, the first month (November) and the last month (April) of activity had pronounced respiratory loss of CO2. The metabolic active period accounted for 25\% of the wet season and of that period 48.6\% was net photosynthesis (NP) and 51.4\% dark respiration (DR). During the time of NP, net photosynthetic uptake of CO2 during daylight hours was reduced by 32.6\% due to water supersaturation. In total, the biocrust fixed 229.09 mmolCO(2) m(-2) yr(-1), corresponding to an annual carbon gain of 2.75 gm(-2) yr(-1). Due to malfunction of the automatic cuvette system, data from September and October 2010 together with some days in November and December 2010 could not be analysed for NP and DR. Based on climatic and gas exchange data from November 2010, an estimated loss of 88 mmolCO(2) m(-2) was found for the 2 months, resulting in corrected annual rates of 143.1 mmolCO(2) m(-2) yr(-1), equivalent to a carbon gain of 1.7 gm(-2) yr(-1). The bulk of the net photosynthetic activity occurred above a relative humidity of 42 \%, indicating a suitable climatic combination of temperature, water availability and light intensity well above 200 mu mol photonsm 2 s(-1) photosynthetic active radiation. The Boodjamulla biocrust exhibited high seasonal variability in CO2 gas exchange pattern, clearly divided into metabolically inactive winter months and active summer months. The metabolic active period commences with a period of up to 3 months) of carbon loss, likely due to reestablishment of the crust structure and restoration of NP prior to about a 4-month period of net carbon gain. In the Gulf Savannah biocrust system, seasonality over the year investigated showed that only a minority of the year is actually suitable for biocrust growth and thus has a small window for potential contribution to soil organic matter.",10.5194/bg-15-491-2018,1726-4170,1726-4189,WOS:000423404400001,NA,NA,NA,NA,NA,NA,NA,NA,NA,selected,,n,n,"cyanobacteria, not lichen ",,
X.WOS.000350573500025,article,"Lund, Magnus and Bjerke, J. W. and Drake, B. G. and Engelsen, O. and Hansen, G. H. and Parmentier, F. J. W. and Powell, T. L. and Silvennoinen, H. and Sottocornola, M. and Tommervik, H. and Weldon, S. and Rasse, D. P.",Low impact of dry conditions on the CO2 exchange of a Northern-Norwegian blanket bog,ENVIRONMENTAL RESEARCH LETTERS,2015,10,2,NA,FEB,"Northern peatlands hold large amounts of organic carbon (C) in their soils and are as such important in a climate change context. Blanket bogs, i.e. nutrient-poor peatlands restricted to maritime climates, may be extra vulnerable to global warming since they require a positive water balance to sustain their moss dominated vegetation and C sink functioning. This study presents a 4.5 year record of land-atmosphere carbon dioxide (CO2) exchange from the Andoya blanket bog in northern Norway. Compared with other peatlands, the Andoya peatland exhibited low flux rates, related to the low productivity of the dominating moss and lichen communities and the maritime settings that attenuated seasonal temperature variations. It was observed that under periods of high vapour pressure deficit, net ecosystem exchange was reduced, which was mainly caused by a decrease in gross primary production. However, no persistent effects of dry conditions on the CO2 exchange dynamics were observed, indicating that under present conditions and within the range of observed meteorological conditions the Andoya blanket bog retained its C uptake function. Continued monitoring of these ecosystem types is essential in order to detect possible effects of a changing climate.",10.1088/1748-9326/10/2/025004,1748-9326,NA,WOS:000350573500025,"Lund, Magnus/AAQ-7073-2021 Powell, Thomas L/F-9877-2016 Tommervik, Hans/AAK-7042-2021 Parmentier, Frans-Jan W./D-9022-2013 Lund, Magnus/J-4922-2013 Sottocornola, Matteo/E-9092-2010 Rasse, Daniel/H-7279-2019 ","Lund, Magnus/0000-0003-1622-2305 Powell, Thomas L/0000-0002-3516-7164 Tommervik, Hans/0000-0001-7273-1695 Parmentier, Frans-Jan W./0000-0003-2952-7706 Lund, Magnus/0000-0003-1622-2305 Rasse, Daniel/0000-0002-5977-3863 Bjerke, Jarle/0000-0003-2721-1492",NA,25004,NA,NA,NA,NA,NA,selected,,n,n,bog system not split out by groups/species,,
X.WOS.000431422800001,article,"Wen, Youyue and Liu, Xiaoping and Du, Guoming",Nonuniform Time-Lag Effects of Asymmetric Warming on Net Primary Productivity across Global Terrestrial Biomes,EARTH INTERACTIONS,2018,22,8,26-Jan,MAY,"Climate warming exhibits asymmetric patterns over a diel time, with the trend of nighttime warming exceeding that of daytime warming, a phenomenon commonly known as asymmetric warming. Recently, increasing studies have documented the significant instantaneous impacts of asymmetric warming on terrestrial vegetation growth, but the indirect effects of asymmetric warming carrying over vegetation growth (referred to here as time-lag effects) remain unknown. Here, we quantitatively studied the time-lag effects (within 1 year) of asymmetric warming on global plant biomes by using terrestrial vegetation net primary production (NPP) derived by the Carnegie-Ames-Stanford Approach (CASA) model and accumulated daytime and nighttime temperature (ATmax and ATmin) from 1982 to 2013. Partial correlation and time-lag analyses were conducted at a monthly scale to obtain the partial correlation coefficients between NPP and ATmax/ATmin and the lagged durations of NPP responses to ATmax/ATmin. The results showed that (i) asymmetric warming has nonuniform time-lag effects on single plant biomes, and distinguishing correlations exist in different vegetation biomes' associations to asymmetric warming; (ii) terrestrial biomes respond to ATmax (4.63 +/- 3.92 months) with a shorter protracted duration than to ATmin (6.06 +/- 4.27 months); (iii) forest biomes exhibit longer prolonged duration in responding to asymmetric warming than nonforest biomes do; (iv) mosses and lichens (Mosses), evergreen needleleaf forests (ENF), deciduous needleleaf forests (DNF), and mixed forests (MF) tend to positively correlate with ATmax, whereas the other biomes associate with ATmax with near-equal splits of positive and negative correlation; and (v) ATmin has a predominantly positive influence on terrestrial biomes, except for Mosses and DNF. This study provides a new perspective on terrestrial ecosystem responses to asymmetric warming and highlights the importance of including such nonuniform time-lag effects into currently used terrestrial ecosystem models during future investigations of vegetation-climate interactions.",10.1175/EI-D-17-0032.1,NA,1087-3562,WOS:000431422800001,NA,"Wen, Youyue/0000-0001-7506-3549",NA,NA,NA,NA,NA,NA,NA,selected,,n,n,broken out by ecosystem type; moss + lichens grouped together,,
X.WOS.000278163800007,article,"Maestre, Fernando T. and Bowker, Matthew A. and Escolar, Cristina and Puche, Maria D. and Soliveres, Santiago and Maltez-Mouro, Sara and Garcia-Palacios, Pablo and Castillo-Monroy, Andrea P. and Martinez, Isabel and Escudero, Adrian",Do biotic interactions modulate ecosystem functioning along stress gradients? Insights from semi-arid plant and biological soil crust communities,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2010,365,1549,2057-2070,12-Jul,"Climate change will exacerbate the degree of abiotic stress experienced by semi-arid ecosystems. While abiotic stress profoundly affects biotic interactions, their potential role as modulators of ecosystem responses to climate change is largely unknown. Using plants and biological soil crusts, we tested the relative importance of facilitative-competitive interactions and other community attributes (cover, species richness and species evenness) as drivers of ecosystem functioning along stress gradients in semi-arid Mediterranean ecosystems. Biotic interactions shifted from facilitation to competition along stress gradients driven by water availability and temperature. These changes were, however, dependent on the spatial scale and the community considered. We found little evidence to suggest that biotic interactions are a major direct influence upon indicators of ecosystem functioning (soil respiration, organic carbon, water-holding capacity, compaction and the activity of enzymes related to the carbon, nitrogen and phosphorus cycles) along stress gradients. However, attributes such as cover and species richness showed a direct effect on ecosystem functioning. Our results do not agree with predictions emphasizing that the importance of plant-plant interactions will be increased under climate change in dry environments, and indicate that reductions in the cover of plant and biological soil crust communities will negatively impact ecosystems under future climatic conditions.",10.1098/rstb.2010.0016,0962-8436,1471-2970,WOS:000278163800007,"Garcia-Palacios, Pablo/K-7567-2014 Codina, Santiago Soliveres/A-2291-2016 Escudero, Adrian/H-5046-2015 Maestre, Fernando T./A-6825-2008 Martinez, Isabel/K-8800-2014 ","Garcia-Palacios, Pablo/0000-0002-6367-4761 Codina, Santiago Soliveres/0000-0001-9661-7192 Escudero, Adrian/0000-0002-1427-5465 Maestre, Fernando T./0000-0002-7434-4856 Martinez, Isabel/0000-0002-5924-1648 Bowker, Matthew/0000-0002-5891-0264",NA,NA,NA,NA,NA,NA,NA,selected,unclear,n,n,BSCs,,
X.WOS.000233666500009,article,"Brostoff, WN and Sharifi, MR and Rundel, PW","Photosynthesis of cryptobiotic soil crusts in a seasonally inundated system of pans and dunes in the western Mojave Desert, CA: Field studies",FLORA,2005,200,6,592-600,NA,"Cryptobiotic soil crusts form the dominant cover of a unique system of dunes and intermittently inundated pans and playas situated on the Pleistocene Lake Thompson bed, in the western Mojave Desert, CA. Recent work has reported on basic ecological parameters including distribution, abundance, and species composition of these algal (cyanobacterial)dominated crusts as well as on their photosynthetic rates in laboratory studies. As a step toward building an ecological model for a natural resource management plan, we determined the photosynthetic rate of the crusts under field environmental conditions. We examined the relationship between the environmental conditions of crust moisture content (MC), temperature, and ambient CO? concentration on photosynthetic rates during the mid-spring and the late autumn. Maximal photosynthetic rates (P-max), which did not vary greatly with season, were 3.57 and 3.99 mu mol CO2 M-2 s(-1) for crusts on dunes and in pans, respectively. Mean photosynthetic rates for three types of crust on dunes, smooth and flat, pedicillated, and unconsolidated, were 1.31, 1.47, and 1.29 mu mol CO2 M-2 s(-1), respectively. P-max of crusts on dunes and pans occurred at soil MCs of 110\% and 20\%, respectively, both lower and higher MCs resulted in decreased rates of photosynthesis. The relation between atmospheric CO2 concentration and net photosynthesis was linear (r(2) = 0.88 and 0.97 for crusts on dunes and pans, respectively) through at least 1000ppm CO2, We measured positive net photosynthesis at temperatures from 0 to 46 degrees C and found no clear optimum within this range when crusts were provided with optimal moisture and light conditions. Photosynthetic rates in this field study were somewhat lower than those measured in the laboratory, but both optimum MC and the relation between ambient CO2 and net photosynthetic rate were similar. Respiration rates were generally less than 10\% those of photosynthetic rates. Based on data herein and climatic information, we estimated the potential net primary productivity of crusts on dunes to be 11.7g Cm-2 yr(-1). The photosynthetic rate of the unconsolidated crust type, for which no data have been published, was similar to the other crust types. This finding, together with previous information that the chlorophyll values of this and other crust forms were similar, suggests that ecological studies, as well as conservation and restoration efforts, give these the same attention as the other crust types. (c) 2005 Elsevier GmbH. All rights reserved.",10.1016/j.flora.2005.06.008,0367-2530,1618-0585,WOS:000233666500009,NA,NA,NA,NA,NA,NA,NA,NA,NA,selected,,n,n,"BSCs,  but figure 2 have temp dependence",,
X.WOS.000592252700001,article,"Loebs, Nina and Walter, David and Barbosa, Cybelli G. G. and Brill, Sebastian and Alves, Rodrigo P. and Cerqueira, Gabriela R. and Sa, Marta de Oliveira and de Araujo, Alessandro C. and de Oliveira, Leonardo R. and Ditas, Florian and Moran-Zuloaga, Daniel and Florentino, Ana Paula Pires and Wolff, Stefan and Godoi, Ricardo H. M. and Kesselmeier, Juergen and de Oliveira, Sylvia Mota and Andreae, Meinrat O. and Poehlker, Christopher and Weber, Bettina",Microclimatic conditions and water content fluctuations experienced by epiphytic bryophytes in an Amazonian rain forest,BIOGEOSCIENCES,2020,17,21,5399-5416,11-Nov,"In the Amazonian rain forest, major parts of trees and shrubs are covered by epiphytic cryptogams of great taxonomic variety, but their relevance in biosphere-atmosphere exchange, climate processes, and nutrient cycling is largely unknown. As cryptogams are poikilohydric organisms, they are physiologically active only under moist conditions. Thus, information on their water content (WC) as well as temperature and light conditions experienced by them are essential to analyze their impact on local, regional, and even global biogeochemical processes. In this study, we present data on the microclimatic conditions, including water content, temperature, and light conditions experienced by epiphytic bryophytes along a vertical gradient, and combine these with above-canopy climate data collected at the Amazon Tall Tower Observatory (ATTO) in the Amazonian rain forest between October 2014 and December 2016. While the monthly average of above-canopy light intensities revealed only minor fluctuations over the course of the year, the light intensities experienced by the bryophytes varied depending on the location within the canopy, probably caused by individual shading by vegetation. In the understory (1.5 m), monthly average light intensities were similar throughout the year, and individual values were extremely low, remaining below 3 mu mol(-1) m(-2) s(-1) photosynthetic photon flux density more than 84 \% of the time. Temperatures showed only minor variations throughout the year, with higher values and larger height-dependent differences during the dry season. The indirectly assessed water content of bryophytes varied depending on precipitation, air humidity, dew condensation, and bryophyte type. Whereas bryophytes in the canopy were affected by diel fluctuations of the relative humidity and condensation, those close to the forest floor mainly responded to rainfall patterns. In general, bryophytes growing close to the forest floor were limited by light availability, while those growing in the canopy had to withstand larger variations in microclimatic conditions, especially during the dry season. For further research in this field, these data may be combined with CO2 gas exchange measurements to investigate the role of bryophytes in various biosphere-atmosphere exchange processes, and could be a tool to understand the functioning of the epiphytic community in greater detail.",10.5194/bg-17-5399-2020,1726-4170,1726-4189,WOS:000592252700001,"Weber, Bettina/G-8316-2016 Moran-Zuloaga, Daniel/Q-9227-2019 Pohlker, Christopher/S-5207-2016 Moran-Zuloaga, Daniel/ABH-8378-2020 Andreae, Meinrat O/B-1068-2008 ","Weber, Bettina/0000-0002-5453-3967 Moran-Zuloaga, Daniel/0000-0002-1517-2732 Pohlker, Christopher/0000-0001-6958-425X Andreae, Meinrat O/0000-0003-1968-7925 Walter, David/0000-0001-6807-5007 Godoi, Ricardo H M/0000-0002-4774-4870 Ditas, Florian/0000-0003-3824-9373 Brill, Sebastian/0000-0002-8535-6182",NA,NA,NA,NA,NA,NA,NA,selected,,n,n,epiphytic bryophytes ,,
X.WOS.000230362600002,article,"Nakatsubo, T and Bekku, YS and Uchida, M and Muraoka, H and Kume, A and Ohtsuka, T and Masuzawa, T and Kanda, H and Koizumi, H","Ecosystem development and carbon cycle on a glacier foreland in the high Arctic, Ny-Alesund, Svalbard",JOURNAL OF PLANT RESEARCH,2005,118,3,173-179,JUN,"The Arctic terrestrial ecosystem is thought to be extremely susceptible to climate change. However, because of the diverse responses of ecosystem components to change. an overall response of the ecosystem carbon cycle to climate change is still hard to predict. In this review, we focus on several recent studies conducted to clarify the pattern of the carbon cycle on the deglaciated area of Ny-angstrom lesund. Svalbard in the high Arctic. Vegetation cover and soil carbon pools tended to increase with the progress of succession. However, even in the latter stages of succession, the size of the soil carbon pool was much smaller than those reported for the low Arctic tundra. Cryptogams contributed the major proportion of phytomass in the later stages. However, because of water limitation, their net primary production was smaller than that of the vascular plants. The compartment model that incorporated major carbon pools and flows suggested that the ecosystem of the later stages is likely to be a net sink of carbon at least for the summer season. Based on the eco-physiological characteristics of the major ecosystem components, we suggest several possible scenarios of future changes in the ecosystem carbon cycle.",10.1007/s10265-005-0211-9,0918-9440,1618-0860,WOS:000230362600002,", å¤§å¡šä¿Šä¹‹/V-6687-2019 Nakatsubo, Takayuki/V-4520-2019 Kume, Atsushi/G-3523-2011 ",", å¤§å¡šä¿Šä¹‹/0000-0002-9032-7933 Kume, Atsushi/0000-0002-0048-5680 Nakatsubo, Takayuki/0000-0003-3329-0123",NA,NA,NA,NA,NA,NA,NA,selected,,n,n,"site differences, no temperature dependence",,
X.WOS.000345320700003,article,"Segal, Aliza D. and Sullivan, Patrick F.",Identifying the sources and uncertainties of ecosystem respiration in Arctic tussock tundra,BIOGEOCHEMISTRY,2014,121,3,489-503,DEC,"Ecosystem respiration (ER) is the largest flux of carbon (C) from terrestrial ecosystems to the atmosphere, yet our ability to model this aggregate flux lags considerably behind our ability to model photosynthesis. Arctic ecosystems hold large stocks of potentially labile soil C and are dominated by plants with high root: shoot ratios. However, simple models of Arctic tundra ER typically use only aboveground drivers, such as air temperature and leaf area index. To investigate this apparent discrepancy, we partitioned ER into its component fluxes in moist acidic tussock tundra, which is among the most widespread of Arctic ecosystems. To partition ER, we combined tissue-scale measurements of leaf, wood, moss, lichen, and root respiration with seasonal biomass estimates. Simple respiration models were fit to the data for each tissue type. Our results suggest that belowground respiration is a large proportion of ER and that its contribution increases over the course of the growing season with soil thaw. We estimated that bulk soil heterotrophic respiration made up approximately 40 \%, root respiration made up 35 \%, mosses contributed 8.5 \% and all vascular plant leaves combined made up a mere 13.5 \% of ER during the 2012 growing season. Our ability to model aboveground tissue respiration exceeded our ability to model belowground respiration. We hypothesize that effects of the aboveground climate on rhizosphere respiration, mediated by the production and delivery of photosynthate, may be a critical determinant of ER, as this would reconcile our results with simple models of ER.",10.1007/s10533-014-0017-8,0168-2563,1573-515X,WOS:000345320700003,NA,"Sullivan, Patrick/0000-0002-8015-3036",NA,NA,NA,NA,NA,NA,NA,excluded,ecosystem respiration -- not relevant ,n,n,,,
X.WOS.000458178600004,article,"Osipov, A. F.",Effect of Interannual Difference in Weather Conditions of the Growing Season on the CO2 Emission from the Soil Surface in the Middle-Taiga Cowberry-Lichen Pine Forest (Komi Republic),EURASIAN SOIL SCIENCE,2018,51,12,1419-1426,DEC,"Data on the C?(2) emission from the surface of iron-illuvial podzol (Albic Podzol) under an 84-year-old cowberry-lichen pine forest of the middle taiga in the northeast of European Russia (the Komi Republic) during the growing seasons of 2014-2017 are discussed. Interannual differences in weather conditions were estimated from records of the Syktyvkar weather station. The emission of C?(2) was measured by an infrared analyzer LI-COR 8100. In 2016, the duration of the growing season, mean air temperature, and the sums of effective (>5 degrees C) and biologically active (>10 degrees C) temperatures were 1.1-1.3 times higher than the long-term averages. Droughty seasons were absent in the studied period. The intensity of the CO2 emission correlated with the soil temperature at the depth of 10 cm; the correlation coefficient varied from 0.79 to 0.86 (p < 0.05). The temperature coefficient Q(10) varied from 2.2 to 3.7; soil respiration at the temperature of 10 degrees C, from 1.2 to 1.5 g C-C?(2)/(m(2) 24 h); at the temperature of 20 degrees C, from 2.6 to 5.3 g C-C?(2)/(m(2) 24 h), the mean rate of soil respiration during the growing season, from 1.3 to 1.7 g C-C?(2)/(m(2) 24 h). The total emission of carbon in the form of CO2 from the surface of iron-illuvial podzol varied from 246 to 389 g/m(2) with the maximum during the hot summer season of 2016.",10.1134/S1064229318120086,1064-2293,1556-195X,WOS:000458178600004,"Osipov, Andrey/ABH-4417-2020 Osipov, Andrey/P-9583-2015","Osipov, Andrey/0000-0003-0618-9660",NA,NA,NA,NA,NA,NA,NA,excluded,rainfall effects on forest -- not relevant,n,n,,,
